olive_plan_id,olive_plan_name,platform,olive_placement_id,olive_placement_type,date,opid,In_View_Impressions,Valid_and_Viewable_Impressions,In_View_Measurable_Impressions_viewability,Audible_And_Visible_On_Complete,In_View_Measurable_Impressions_AVOC,Valid_and_AVOC_Impressions
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989226,In-stream video (skippable),2022-01-30,2989226,26712,,102761,952,102761,952
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989227,In-stream video (skippable),2022-01-30,2989227,200887,,632383,7214,632383,7214
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989224,In-stream video (skippable),2022-01-30,2989224,1786,,9074,149,9074,149
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989231,In-stream video (skippable),2022-01-30,2989231,171395,,501229,10420,501229,10420
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989225,In-stream video (skippable),2022-01-31,2989225,155296,,466353,9532,466353,9532
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989293,In-stream video (skippable),2022-01-31,2989293,42251,,122532,3739,122532,3739
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989301,In-stream video (skippable),2022-01-31,2989301,6104,,21471,741,21471,741
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989230,In-stream video (skippable),2022-01-31,2989230,1532,,6487,152,6487,152
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989294,In-stream video (skippable),2022-01-31,2989294,11432,,41050,1875,41050,1875
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989223,In-stream video (skippable),2022-01-31,2989223,62581,,153921,2605,153921,2605
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989228,In-stream video (skippable),2022-01-31,2989228,299757,,1203091,6290,1203091,6290
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989222,In-stream video (skippable),2022-01-31,2989222,216761,,879817,4588,879817,4588
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989221,In-stream video (skippable),2022-01-31,2989221,145455,,470554,5374,470554,5374
